;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:44:40 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 131954,SENSOR,7143.21 ,27248.70 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132041,SENSOR,7398.53 ,27386.54 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132128,SENSOR,7653.84 ,27524.38 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132215,SENSOR,7909.16 ,27662.22 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132302,SENSOR,8164.48 ,27800.05 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132349,SENSOR,8419.80 ,27937.89 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132436,SENSOR,8675.11 ,28075.73 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132523,SENSOR,8930.43 ,28213.57 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132610,SENSOR,9185.75 ,28351.41 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132657,SENSOR,9441.07 ,28489.24 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132744,SENSOR,9696.38 ,28627.08 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132831,SENSOR,9951.70 ,28764.92 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 132918,SENSOR,10207.02 ,28902.76 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133005,SENSOR,10462.34 ,29040.59 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133052,SENSOR,10717.66 ,29178.43 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133139,SENSOR,10972.97 ,29316.27 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133226,SENSOR,11228.29 ,29454.11 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133313,SENSOR,11483.61 ,29591.94 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133400,SENSOR,11738.93 ,29729.78 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133447,SENSOR,11994.25 ,29867.62 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133534,SENSOR,12249.56 ,30005.46 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133621,SENSOR,12504.88 ,30143.29 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133708,SENSOR,12760.20 ,30281.13 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133755,SENSOR,13015.52 ,30418.97 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133842,SENSOR,13270.84 ,30556.81 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 133929,SENSOR,13526.16 ,30694.64 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134016,SENSOR,13781.47 ,30832.48 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134103,SENSOR,14036.79 ,30970.32 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134150,SENSOR,14292.11 ,31108.16 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134237,SENSOR,14547.43 ,31246.00 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134324,SENSOR,14802.75 ,31383.83 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134411,SENSOR,15058.07 ,31521.67 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134458,SENSOR,15313.38 ,31659.51 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,sensor route:leg three:Heading for target location
100112 134545,SENSOR,15568.70 ,31797.35 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 134632,SENSOR,15824.02 ,31935.18 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 134719,SENSOR,16079.34 ,32073.02 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 134806,SENSOR,16334.66 ,32210.86 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 134853,SENSOR,16589.98 ,32348.70 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 134940,SENSOR,16845.29 ,32486.53 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135027,SENSOR,17100.61 ,32624.37 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135114,SENSOR,17355.93 ,32762.21 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135201,SENSOR,17611.25 ,32900.05 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135248,SENSOR,17866.57 ,33037.88 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135335,SENSOR,18121.89 ,33175.72 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135422,SENSOR,18377.21 ,33313.56 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135509,SENSOR,18632.53 ,33451.40 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135556,SENSOR,18887.84 ,33589.23 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135643,SENSOR,19143.16 ,33727.07 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135730,SENSOR,19398.48 ,33864.91 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135817,SENSOR,19653.80 ,34002.75 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135904,SENSOR,19909.12 ,34140.59 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 135951,SENSOR,20164.44 ,34278.42 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
100112 140038,SENSOR,20419.76 ,34416.26 ,0.00 ,61.64 ,6.17 ,61.64 ,6.17 ,0.00 ,100.00 ,inactive
